bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
0.45,0.0015,312,True,0,1,0,Fri Apr 06 2018 18:58:07 GMT-0500 (CDT),False,A1.0
0.45,0.0015,312,True,1,1,1,Fri Apr 06 2018 12:38:20 GMT-0500 (Central Daylight Time),True,A1.0
0.45,0.0015,312,True,1,1,2,Fri Apr 06 2018 17:41:55 GMT-0400 (Eastern Daylight Time),True,A1.0
2.2,0.0015,312,True,0,1,3,Thu Apr 05 2018 18:26:07 GMT-0500 (CDT),False,A1.0
0.45,0.0015,312,True,0,1,4,Wed Apr 04 2018 15:34:08 GMT-0400 (EDT),False,A1.0
0.45,0.0015,312,True,0,1,5,Fri Apr 06 2018 13:46:47 GMT-0400 (Eastern Daylight Time),False,A1.0
2.29,0.0015,312,True,0,1,6,Fri Apr 06 2018 12:05:22 GMT-0500 (Central Daylight Time),False,A1.0
1.38,0.0015,312,True,1,1,7,Fri Apr 06 2018 23:48:03 GMT-0400 (EDT),True,A1.0
0.45,0.0015,312,True,1,1,8,Thu Apr 05 2018 11:31:55 GMT-0400 (Eastern Daylight Time),True,A1.0
0.45,0.0015,312,True,0,1,9,Thu Apr 05 2018 14:18:11 GMT-0400 (Eastern Daylight Time),False,A1.0
2.21,0.0015,312,True,1,1,10,Fri Apr 06 2018 17:54:44 GMT-0500 (Central Daylight Time),True,A1.0
0.45,0.0015,312,True,1,1,11,Fri Apr 06 2018 18:04:53 GMT-0400 (Eastern Daylight Time),True,A1.0
0.45,0.0015,312,True,1,1,12,Wed Apr 04 2018 12:20:07 GMT-0700 (PDT),True,A1.0
0.45,0.0015,312,True,1,1,13,Thu Apr 05 2018 11:31:09 GMT-0700 (Pacific Daylight Time),True,A1.0
0.45,0.0015,312,True,1,1,14,Wed Apr 04 2018 19:41:46 GMT-0400 (Eastern Daylight Time),True,A1.0
0.45,0.0015,312,True,1,1,15,Sat Apr 07 2018 00:20:39 GMT-0500 (Central Daylight Time),True,A1.0
0.45,0.0015,312,True,1,1,16,Fri Apr 06 2018 16:33:12 GMT-0700 (PDT),True,A1.0
0.45,0.0015,312,True,1,1,17,Fri Apr 06 2018 16:34:30 GMT-0500 (Central Daylight Time),True,A1.0
0.45,0.0015,312,True,0,1,18,Fri Apr 06 2018 13:05:18 GMT-0400 (EDT),False,A1.0
0.45,0.0015,312,True,0,1,19,Fri Apr 06 2018 17:14:05 GMT-0500 (Central Daylight Time),False,A1.0
1.09,0.0015,312,True,0,1,20,Fri Apr 06 2018 13:59:39 GMT-0400 (EDT),False,A1.0
0.57,0.0015,312,True,0,1,21,Thu Apr 05 2018 22:38:06 GMT-0400 (Eastern Daylight Time),False,A1.0
0.45,0.0015,312,True,0,1,22,Wed Apr 04 2018 15:22:50 GMT-0500 (Central Daylight Time),False,A1.0
0.45,0.0015,312,True,0,1,23,Fri Apr 06 2018 22:13:29 GMT-0700 (Pacific Daylight Time),False,A1.0
0.45,0.0015,312,True,0,1,24,Thu Apr 05 2018 13:26:04 GMT-0500 (Central Daylight Time),False,A1.0
