p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[{u'Q': -1.9984014443252818e-15, u'action': u'__TERM_ACTION__', u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 5.135999999999999}]","[2362, 15018, 18065]","[u'1', u'1', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[3],[True],[u'__TERM_ACTION__'],"[0, 5, 6, 8]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2359, 3936, 2520]",4.0,511502,1.0,,mouselab-mdp,,0
"[{u'Q': -1.9984014443252818e-15, u'action': u'__TERM_ACTION__', u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 5.135999999999999}]","[2781, 7767, 10349]","[u'2', u'2', u'3']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[3],[True],[u'__TERM_ACTION__'],"[0, 9, 10, 11]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2781, 1467, 2070]",36.0,578539,2.0,,mouselab-mdp,,0
"[{u'Q': 5.135999999999999, u'action': 15, u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 5.135999999999999}, {u'Q': -1.9984014443252818e-15, u'action': u'__TERM_ACTION__', u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__'], u'V': 5.135999999999999}]","[8981, 17581, 81683]","[u'0', u'0', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__']]",,[3],[True],"[15, u'__TERM_ACTION__']","[0, 1, 2, 3]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [15], u'time': [2002]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8979, 667, 63586]",19.0,666578,3.0,,mouselab-mdp,,0
"[{u'Q': -1.9984014443252818e-15, u'action': u'__TERM_ACTION__', u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 5.135999999999999}]","[15235, 31614, 33937]","[u'2', u'2', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[3],[True],[u'__TERM_ACTION__'],"[0, 9, 10, 12]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15235, 12849, 1809]",-4.0,718381,4.0,,mouselab-mdp,,0
"[{u'Q': 5.135999999999999, u'action': 15, u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 5.135999999999999}, {u'Q': -1.9984014443252818e-15, u'action': u'__TERM_ACTION__', u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__'], u'V': 5.135999999999999}]","[6166, 15673, 18066]","[u'3', u'3', u'2']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__']]",,[3],[True],"[15, u'__TERM_ACTION__']","[0, 13, 14, 16]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [15], u'time': [3594]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6166, 2181, 1881]",3.0,770611,5.0,,mouselab-mdp,,0
"[{u'Q': 5.135999999999999, u'action': 4, u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 5.135999999999999}, {u'Q': 20, u'action': u'__TERM_ACTION__', u'Qs': [21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 20], u'state': [0, u'__', u'__', u'__', 20, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 21}]","[6302, 14414, 17264]","[u'0', u'0', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', 20, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[3],[True],"[4, u'__TERM_ACTION__']","[0, 1, 2, 3]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [4], u'time': [4854]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6301, 1662, 2337]",-13.0,821706,6.0,,mouselab-mdp,,0
"[{u'Q': 5.135999999999999, u'action': 12, u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 5.135999999999999}, {u'Q': 3.9999999999999982, u'action': u'__TERM_ACTION__', u'Qs': [7.1359999999999975, 7.135999999999998, 7.135999999999999, 7.135999999999999, 7.1359999999999975, 7.135999999999998, 7.135999999999999, 7.135999999999999, 7.135999999999998, 7.135999999999998, 7.135999999999999, 7.1359999999999975, 7.135999999999998, 7.135999999999999, 7.135999999999999, 3.9999999999999982], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__'], u'V': 7.135999999999999}]","[6107, 22871, 26696]","[u'1', u'1', u'2']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__']]",,[3],[False],"[12, u'__TERM_ACTION__']","[0, 5, 6, 7]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [12], u'time': [2973]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6107, 9758, 3237]",-37.0,873303,7.0,,mouselab-mdp,,0
"[{u'Q': -1.9984014443252818e-15, u'action': u'__TERM_ACTION__', u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 5.135999999999999}]","[681, 4508, 5211]","[u'0', u'0', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[3],[True],[u'__TERM_ACTION__'],"[0, 1, 2, 3]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[681, 291, 182]",-36.0,924032,8.0,,mouselab-mdp,,0
"[{u'Q': -1.9984014443252818e-15, u'action': u'__TERM_ACTION__', u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 5.135999999999999}]","[2147, 5989, 7508]","[u'2', u'2', u'3']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[3],[True],[u'__TERM_ACTION__'],"[0, 9, 10, 11]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2146, 299, 999]",-4.0,975340,9.0,,mouselab-mdp,,0
"[{u'Q': -1.9984014443252818e-15, u'action': u'__TERM_ACTION__', u'Qs': [5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, 5.1359999999999975, 5.1359999999999975, 5.135999999999999, 5.135999999999999, -1.9984014443252818e-15], u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 5.135999999999999}]","[2650, 6305, 7275]","[u'1', u'1', u'2']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[3],[True],[u'__TERM_ACTION__'],"[0, 5, 6, 7]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2650, 122, 453]",12.0,1027816,10.0,,mouselab-mdp,,0
